CODIGO ESTACION,NOMBRE ESTACION,COD_REGION,REGION,COMUNA,LAT,LONG,UTM_ESTE,UTM_NORTE,ALTITUD
9437002,RIO TOLTEN EN TEODORO SCHMIDT,9,DE LA ARAUCANIA,TEODORO SCHMIDT,390052,730458,665980,5679883,15
9438001,TEODORO SCHMITD,9,DE LA ARAUCANIA,TEODORO SCHMIDT,390130,730445,666264,5678680,13
9439001,TOLTEN,9,DE LA ARAUCANIA,NUEVA TOLTEN,391035,730944,658758,5662046,5
9500001,POSTA ESPERANZA,9,DE LA ARAUCANIA,NUEVA TOLTEN,391849,731128,655946,5646860,14
10000001,LICEO POLITECNICO PESQUERO DE MEHUIN,14,DE LOS RIOS,MARIQUINA,392612,731244,653855,5633239,10
10010001,ESCUELA RURAL DE CURI—ANCO,10,DE LOS LAGOS,VALDIVIA,394237,732346,637487,5603168,190
10100002,RIO FUI EN DESAG‹E LAGO PIRIHUEICO,10,DE LOS LAGOS,VALDIVIA,395228,715330,252705,5582185,600
10100004,PIRIHUEICO EN PIRIHUEICO,10,DE LOS LAGOS,VALDIVIA,400505,714210,269570,5559328,600
10100005,PIRIHUEICO EN PTO. FUY,10,DE LOS LAGOS,FUTRONO,395217,715322,252866,5582532,600
10100006,RIO HUAHUM EN LA FRONTERA,10,DE LOS LAGOS,VALDIVIA,400557,714042,271685,5557777,616
10102001,RIO LIQUI—E EN LIQUI—E,10,DE LOS LAGOS,PANGUIPULLI,394350,715105,255639,5598253,600
10102002,LIQUI—E,10,DE LOS LAGOS,VALDIVIA,394341,715113,255436,5598536,230
10103001,LAGO NELTUME,10,DE LOS LAGOS,PANGUIPULLI,394908,715914,244306,5587998,260
10106001,CO—ARIPE,10,DE LOS LAGOS,PANGUIPULLI,393516,720016,757256,5613700,215
10106002,LAGO CALAFQUEN,10,DE LOS LAGOS,VALDIVIA,393241,720803,746258,5618836,385
10106003,LICAN-RAY,9,DE LA ARAUCANIA,VILLARRICA,392309,721326,739085,5636724,275
10106013,ESTERO TRALCO,10,DE LOS LAGOS,VALDIVIA,393317,715929,242964,5617374,378
10106014,ESTERO COLLICO EN PUCURA,10,DE LOS LAGOS,VALDIVIA,393051,720345,752513,5622030,291
10108005,LAGO PANGUIPULLI (LM),10,DE LOS LAGOS,PANGUIPULLI,395006,720503,749523,5586411,140
10110002,RIO ENCO EN DESAG‹E LAGO PANGUIPULLI,10,DE LOS LAGOS,RIO BUENO,395149,720807,745014,5583439,131
10111001,RIO SAN PEDRO EN DESAGUE LAGO RINIHUE,10,DE LOS LAGOS,LOS LAGOS,394632,722726,717778,5594066,115
10111002,LAGO RI—IHUE (Meteo),10,DE LOS LAGOS,RIO BUENO,394627,722712,718105,5594216,120
10111015,LAGO RI—IHUE ESTACION DE CONTROL,14,DE LOS RIOS,LOS LAGOS,394640,722711,718122,5593803,112
10113003,RIO SAN PEDRO EN PUCONO,10,DE LOS LAGOS,LAGO RANCO,394533,723522,706495,5596181,78
10117000,RIO QUINCHILCA EN RUTA T-39,10,DE LOS LAGOS,VALDIVIA,395132,724510,692225,5585487,38
10122003,RIO CALLE CALLE EN PUPUNAHUE,10,DE LOS LAGOS,LAGO RANCO,394830,725417,679340,5591387,60
10123004,LLANCAHUE,10,DE LOS LAGOS,VALDIVIA,395123,731043,655803,5586594,70
10123005,VALDIVIA,10,DE LOS LAGOS,VALDIVIA,394859,731434,650408,5591069,10
10123006,VALDIVIA (U. AUSTRAL),10,DE LOS LAGOS,LAGO RANCO,394957,731438,650280,5589357,10
10130001,LONCOCHE,9,DE LA ARAUCANIA,LONCOCHE,392219,723703,705236,5639239,120
10133000,RIO LEUFUCADE EN PURULON,10,DE LOS LAGOS,VALDIVIA,392841,724127,698609,5627619,97
10134002,SAN JOSE MARIQUINA,10,DE LOS LAGOS,MARIQUINA,393323,725403,680336,5619367,30
10137002,HUICHACO (Meteo),10,DE LOS LAGOS,PANGUIPULLI,394257,724416,693901,5601340,95
10141001,CATAMUTUN (Meteo),10,DE LOS LAGOS,LA UNION,400958,731007,655957,5552187,150
10142003,RIO FUTA EN TRES CHIFLONES,10,DE LOS LAGOS,VALDIVIA,400156,730919,657383,5567033,10
10200001,METEOROLOGICA CORRAL,14,DE LOS RIOS,CORRAL,395327,732533,634587,5583173,23
10210001,METEOROLOGICA ESCUELA RURAL CHAIHUIN,14,DE LOS RIOS,CORRAL,395707,733433,621653,5576605,10
10304001,RIO CALCURRUPE EN DESEMBOCADURA,10,DE LOS LAGOS,LAGO RANCO,401352,721537,733081,5543000,160
10304002,LAGO MAIHUE,10,DE LOS LAGOS,VALDIVIA,401305,720847,742815,5544126,100
10304007,LAGO MAIHUE (LM),10,DE LOS LAGOS,FUTRONO,401944,720038,753968,5531448,93
10304011,FUNDO SICHAHUE (Meteo),14,DE LOS RIOS,FUTRONO,401224,721124,739152,5545516,101
10305002,CAUNAHUE (Meteo),10,DE LOS LAGOS,VALDIVIA,400936,721509,733982,5550880,100
10307001,LAGO RANCO,10,DE LOS LAGOS,LAGO RANCO,401904,722809,715049,5533882,100
10307009,FUTRONO SECTOR LAS QUEMAS,14,DE LOS RIOS,FUTRONO,400625,722256,723117,5557088,206
10311016,ESCUELA RURAL LOS ESTEROS,14,DE LOS RIOS,LA UNION,401241,724726,688022,5546439,138
